country_name,total_market_value,confederation
San Marino,1250000.0,UEFA
Andorra,3910000.0,UEFA
Montenegro,69430000.0,UEFA
Guatemala,7780000.0,CONCACAF
Uganda,8750000.0,CAF
Ethiopia,2900000.0,CAF
El Salvador,4760000.0,CONCACAF
Fiji,2430000.0,OFC
India,4000000.0,AFC
Indonesia,19549999.0,AFC
Tajikistan,8250000.0,AFC
Qatar,19930000.0,AFC
Oman,8330000.0,AFC
Brunei Darussalam,800000.0,AFC
Bangladesh,7250000.0,AFC
Dominican Republic,12830000.0,CONCACAF
Philippines,3330000.0,AFC
Nicaragua,3780000.0,CONCACAF
Singapore,4580000.0,AFC
Sri Lanka,860000.0,AFC
Chinese Taipei,2010000.0,AFC
Maldives,675000.0,AFC
Jordan,20299999.0,AFC
Malaysia,7600000.0,AFC
Belize,350000.0,CONCACAF
Bhutan,840000.0,AFC
Hongkong,3380000.0,AFC
Cambodia,2580000.0,AFC
Myanmar,3000000.0,AFC
Comoros,20000000.0,CAF
Laos,1320000.0,
Timor-Leste,785000.0,AFC
Puerto Rico,825000.0,CONCACAF
Germany,947000000.0,UEFA
England,,UEFA
Portugal,,UEFA
Spain,,UEFA
Italy,319000000.0,UEFA
France,,UEFA
Greece,275600006.0,UEFA
Netherlands,754200012.0,UEFA
Scotland,170250000.0,UEFA
Türkiye,473700012.0,UEFA
Belgium,547500000.0,UEFA
Austria,245199997.0,UEFA
Switzerland,332500000.0,UEFA
Bulgaria,30049999.0,UEFA
Australia,77449997.0,AFC
Japan,270850006.0,AFC
Denmark,365000000.0,UEFA
Argentina,807500000.0,CONMEBOL
Serbia,209500000.0,UEFA
Brazil,928200012.0,CONMEBOL
Norway,589900024.0,UEFA
Ghana,234350006.0,CAF
Poland,232100006.0,UEFA
Finland,41849998.0,UEFA
Nigeria,172050003.0,CAF
Czech Republic,171500000.0,UEFA
Bosnia-Herzegovina,146399994.0,UEFA
Romania,56950001.0,UEFA
Russia,242699997.0,UEFA
Uruguay,359299988.0,CONMEBOL
Belarus,15380000.0,UEFA
Hungary,209199997.0,UEFA
Senegal,478100006.0,CAF
Slovakia,59849998.0,UEFA
Venezuela,79000000.0,CONMEBOL
United States,385649994.0,CONCACAF
Ireland,146850006.0,UEFA
Canada,198649994.0,CONCACAF
Latvia,9380000.0,UEFA
Croatia,387299988.0,UEFA
Sweden,406079987.0,UEFA
Iraq,21200001.0,AFC
Albania,88800003.0,UEFA
Uzbekistan,85129997.0,AFC
Iceland,89099998.0,UEFA
Morocco,447700012.0,CAF
Panama,34549999.0,CONCACAF
Luxembourg,14980000.0,UEFA
Paraguay,153649994.0,CONMEBOL
Iran,32049999.0,AFC
Peru,30629999.0,CONMEBOL
Lebanon,5550000.0,AFC
Malta,15000000.0,UEFA
Slovenia,100500000.0,UEFA
"Korea, South",139050003.0,AFC
Honduras,21430000.0,CONCACAF
Algeria,256899994.0,CAF
Cyprus,19900000.0,UEFA
Georgia,261600006.0,UEFA
Tunisia,69949997.0,CAF
Jamaica,9050000.0,CONCACAF
Egypt,116480003.0,CAF
Ukraine,247000000.0,UEFA
Chile,66800003.0,CONMEBOL
Gibraltar,1840000.0,UEFA
South Africa,49250000.0,CAF
Saudi Arabia,40680000.0,AFC
Colombia,302350006.0,CONMEBOL
Lithuania,16180000.0,UEFA
Wales,180649994.0,UEFA
Kyrgyzstan,7050000.0,AFC
United Arab Emirates,29049999.0,AFC
North Macedonia,34450001.0,UEFA
Bolivia,17850000.0,CONMEBOL
Kosovo,147449997.0,UEFA
Israel,68099998.0,UEFA
China,14330000.0,AFC
Northern Ireland,79900002.0,UEFA
Thailand,6550000.0,AFC
Ecuador,368700012.0,CONMEBOL
Moldova,9700000.0,UEFA
Estonia,13900000.0,UEFA
Armenia,42230000.0,UEFA
Mexico,191850006.0,CONCACAF
Libya,10430000.0,CAF
Costa Rica,28200001.0,CONCACAF
Azerbaijan,21680000.0,UEFA
Vietnam,7430000.0,AFC
Kazakhstan,16299999.0,UEFA
New Zealand,34299999.0,OFC
Faroe Islands,5130000.0,UEFA
